City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
275,Praia Da Vitoria,PT,65.75,few clouds,38.7333,-27.0667,Hotel Branco I
276,Worthing,GB,48.92,few clouds,50.8145,-0.3713,The Chatsworth Hotel
277,Cajamarca,PE,60.87,fog,-7.1638,-78.5003,Hotel Costa del Sol Cajamarca
278,Brae,GB,45.77,overcast clouds,60.3964,-1.353,Busta House Hotel
279,Niteroi,BR,81.59,broken clouds,-22.8833,-43.1036,Hotel Viareggio
280,Trelew,AR,79.99,overcast clouds,-43.249,-65.3051,Hotel Touring Club
281,Shingu,JP,40.91,clear sky,33.7333,135.9833,Shingu UI Hotel
282,Riihimaki,FI,33.28,broken clouds,60.7377,24.7773,Hotel Seurahuone
283,Honiara,SB,76.26,overcast clouds,-9.4333,159.95,Heritage Park Hotel
285,Mosquera,CO,64.49,scattered clouds,4.7059,-74.2302,Hotel SJ
286,Bubaque,GW,82.44,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
288,Hasaki,JP,30.6,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
289,Komsomolskiy,UZ,40.42,mist,40.4272,71.7189,Ikathouse
290,Vatava,RO,38.62,overcast clouds,46.9667,24.7667,Camping Herța
293,Kijang,KR,44.33,broken clouds,35.2442,129.2139,Samyang Beach Villa
294,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
295,San Juan De Abajo,MX,71.58,clear sky,20.8167,-105.1833,Lorenzo Anaya
296,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
297,Camalu,MX,61.84,clear sky,30.85,-116.0667,La Cueva del Pirata
298,Guasdualito,VE,84.16,few clouds,7.2424,-70.7324,Hotel Cuibas
299,Qaqortoq,GL,29.16,snow,60.7167,-46.0333,Siniffik Inn
300,Talanga,HN,73.94,overcast clouds,14.4,-87.0833,Do;a Albertina Zuniga
301,Visby,SE,36.05,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
302,Gra Liyia,GR,60.98,broken clouds,35.0167,25.6833,Diktynna Traditional Villas
303,Urumqi,CN,11.35,mist,43.801,87.6005,Hua Ling Grand Hotel Urumqi
304,Jumla,NP,30.2,clear sky,29.2747,82.1838,Royal Garden Hotel
305,Mayo,US,58.66,clear sky,38.8876,-76.5119,Resorts Resource Group International
306,Guaymas,MX,45.77,clear sky,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
307,Lukovo,MK,49.59,overcast clouds,41.3494,20.6047,Kukja za Vodici
308,Lata,PT,61.07,overcast clouds,40.1629,-8.3327,Casa Maquia
309,Guangyuan,CN,43.3,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
310,Auki,SB,75.0,overcast clouds,-8.7676,160.7034,Auki Motel
311,Wanning,CN,65.59,broken clouds,18.8003,110.3967,Paradise Hotel
313,Broome,US,44.78,scattered clouds,42.2506,-75.833,Chenango Valley State Park
